loss=0.0031, MC price=0.0462, predicted=0.0543
loss=0.0016, MC price=0.0438, predicted=0.0578
loss=0.0019, MC price=0.0441, predicted=0.0556
loss=0.0013, MC price=0.0455, predicted=0.0578
loss=0.0016, MC price=0.0446, predicted=0.0575
loss=0.0016, MC price=0.0451, predicted=0.0564
loss=0.0018, MC price=0.0443, predicted=0.0559
loss=0.0016, MC price=0.0444, predicted=0.0557
loss=0.0017, MC price=0.0455, predicted=0.0568
loss=0.0016, MC price=0.0452, predicted=0.0555
loss=0.0017, MC price=0.0430, predicted=0.0566
loss=0.0014, MC price=0.0440, predicted=0.0564
loss=0.0016, MC price=0.0427, predicted=0.0574
loss=0.0015, MC price=0.0447, predicted=0.0553
loss=0.0014, MC price=0.0438, predicted=0.0547
loss=0.0016, MC price=0.0429, predicted=0.0565
loss=0.0013, MC price=0.0466, predicted=0.0567
loss=0.0016, MC price=0.0437, predicted=0.0557
loss=0.0014, MC price=0.0451, predicted=0.0575
loss=0.0013, MC price=0.0442, predicted=0.0560
loss=0.0014, MC price=0.0452, predicted=0.0564
loss=0.0021, MC price=0.0432, predicted=0.0551
loss=0.0027, MC price=0.0439, predicted=0.0517
loss=0.0027, MC price=0.0458, predicted=0.0537
loss=0.0014, MC price=0.0449, predicted=0.0552
loss=0.0013, MC price=0.0455, predicted=0.0564
loss=0.0013, MC price=0.0438, predicted=0.0579
loss=0.0013, MC price=0.0443, predicted=0.0555
loss=0.0017, MC price=0.0477, predicted=0.0553
loss=0.0012, MC price=0.0461, predicted=0.0557
loss=0.0017, MC price=0.0436, predicted=0.0550
loss=0.0015, MC price=0.0449, predicted=0.0561
loss=0.0022, MC price=0.0458, predicted=0.0543
loss=0.0023, MC price=0.0469, predicted=0.0542
loss=0.0024, MC price=0.0452, predicted=0.0546
loss=0.0023, MC price=0.0447, predicted=0.0545
loss=0.0013, MC price=0.0459, predicted=0.0574
loss=0.0013, MC price=0.0415, predicted=0.0539
loss=0.0013, MC price=0.0454, predicted=0.0562
loss=0.0018, MC price=0.0448, predicted=0.0545
loss=0.0019, MC price=0.0476, predicted=0.0551
loss=0.0013, MC price=0.0455, predicted=0.0549
loss=0.0015, MC price=0.0455, predicted=0.0543
loss=0.0013, MC price=0.0451, predicted=0.0543
loss=0.0013, MC price=0.0438, predicted=0.0539
loss=0.0020, MC price=0.0472, predicted=0.0534
loss=0.0023, MC price=0.0414, predicted=0.0546
loss=0.0019, MC price=0.0445, predicted=0.0531
loss=0.0019, MC price=0.0455, predicted=0.0549
loss=0.0022, MC price=0.0444, predicted=0.0535
loss=0.0015, MC price=0.0429, predicted=0.0564
loss=0.0020, MC price=0.0441, predicted=0.0551
loss=0.0016, MC price=0.0450, predicted=0.0557
loss=0.0018, MC price=0.0457, predicted=0.0550
loss=0.0013, MC price=0.0450, predicted=0.0537
loss=0.0021, MC price=0.0443, predicted=0.0546
loss=0.0019, MC price=0.0444, predicted=0.0536
loss=0.0016, MC price=0.0451, predicted=0.0539
loss=0.0013, MC price=0.0467, predicted=0.0542
loss=0.0012, MC price=0.0443, predicted=0.0551
