loss=0.0018, MC price=0.0115, predicted=0.0004
loss=0.0018, MC price=0.0114, predicted=0.0003
loss=0.0018, MC price=0.0114, predicted=0.0003
loss=0.0016, MC price=0.0107, predicted=0.0003
loss=0.0017, MC price=0.0113, predicted=0.0003
loss=0.0019, MC price=0.0117, predicted=0.0003
loss=0.0018, MC price=0.0110, predicted=0.0003
loss=0.0016, MC price=0.0105, predicted=0.0003
loss=0.0016, MC price=0.0102, predicted=0.0003
loss=0.0017, MC price=0.0114, predicted=0.0003
loss=0.0018, MC price=0.0115, predicted=0.0003
loss=0.0019, MC price=0.0116, predicted=0.0003
loss=0.0018, MC price=0.0111, predicted=0.0003
loss=0.0015, MC price=0.0103, predicted=0.0003
loss=0.0019, MC price=0.0120, predicted=0.0002
loss=0.0015, MC price=0.0103, predicted=0.0002
loss=0.0015, MC price=0.0105, predicted=0.0002
loss=0.0017, MC price=0.0109, predicted=0.0002
loss=0.0018, MC price=0.0115, predicted=0.0002
loss=0.0014, MC price=0.0100, predicted=0.0002
loss=0.0020, MC price=0.0121, predicted=0.0002
loss=0.0017, MC price=0.0109, predicted=0.0002
loss=0.0016, MC price=0.0111, predicted=0.0002
loss=0.0016, MC price=0.0107, predicted=0.0002
loss=0.0019, MC price=0.0118, predicted=0.0002
loss=0.0017, MC price=0.0110, predicted=0.0002
loss=0.0017, MC price=0.0112, predicted=0.0002
loss=0.0016, MC price=0.0105, predicted=0.0002
loss=0.0016, MC price=0.0110, predicted=0.0002
loss=0.0018, MC price=0.0117, predicted=0.0002
loss=0.0018, MC price=0.0112, predicted=0.0002
loss=0.0015, MC price=0.0100, predicted=0.0002
loss=0.0016, MC price=0.0106, predicted=0.0002
loss=0.0016, MC price=0.0107, predicted=0.0002
loss=0.0018, MC price=0.0113, predicted=0.0001
loss=0.0018, MC price=0.0113, predicted=0.0001
loss=0.0017, MC price=0.0110, predicted=0.0001
loss=0.0018, MC price=0.0115, predicted=0.0001
loss=0.0017, MC price=0.0112, predicted=0.0001
loss=0.0017, MC price=0.0109, predicted=0.0001
loss=0.0018, MC price=0.0113, predicted=0.0001
loss=0.0018, MC price=0.0116, predicted=0.0001
loss=0.0017, MC price=0.0107, predicted=0.0001
loss=0.0016, MC price=0.0106, predicted=0.0001
loss=0.0017, MC price=0.0111, predicted=0.0001
loss=0.0019, MC price=0.0117, predicted=0.0001
loss=0.0017, MC price=0.0108, predicted=0.0001
loss=0.0018, MC price=0.0115, predicted=0.0001
loss=0.0015, MC price=0.0102, predicted=0.0001
loss=0.0017, MC price=0.0111, predicted=0.0001
loss=0.0017, MC price=0.0110, predicted=0.0001
loss=0.0018, MC price=0.0115, predicted=0.0001
loss=0.0018, MC price=0.0110, predicted=0.0001
loss=0.0017, MC price=0.0110, predicted=0.0001
loss=0.0020, MC price=0.0129, predicted=0.0001
loss=0.0015, MC price=0.0101, predicted=0.0001
loss=0.0019, MC price=0.0122, predicted=0.0001
loss=0.0016, MC price=0.0109, predicted=0.0001
loss=0.0018, MC price=0.0117, predicted=0.0001
loss=0.0017, MC price=0.0111, predicted=0.0001
loss=0.0016, MC price=0.0103, predicted=0.0001
loss=0.0017, MC price=0.0111, predicted=0.0001
loss=0.0015, MC price=0.0101, predicted=0.0001
loss=0.0016, MC price=0.0107, predicted=0.0001
loss=0.0019, MC price=0.0119, predicted=0.0001
loss=0.0018, MC price=0.0115, predicted=0.0001
loss=0.0016, MC price=0.0106, predicted=0.0001
loss=0.0020, MC price=0.0122, predicted=0.0001
loss=0.0020, MC price=0.0120, predicted=0.0001
loss=0.0016, MC price=0.0104, predicted=0.0001
loss=0.0019, MC price=0.0115, predicted=0.0001
loss=0.0017, MC price=0.0106, predicted=0.0001
loss=0.0016, MC price=0.0108, predicted=0.0001
loss=0.0017, MC price=0.0109, predicted=0.0001
loss=0.0021, MC price=0.0129, predicted=0.0001
loss=0.0018, MC price=0.0116, predicted=0.0001
loss=0.0016, MC price=0.0108, predicted=0.0001
loss=0.0018, MC price=0.0116, predicted=0.0001
loss=0.0019, MC price=0.0120, predicted=0.0001
loss=0.0018, MC price=0.0113, predicted=0.0001
loss=0.0017, MC price=0.0104, predicted=0.0001
loss=0.0019, MC price=0.0118, predicted=0.0001
loss=0.0017, MC price=0.0111, predicted=0.0001
loss=0.0017, MC price=0.0108, predicted=0.0001
loss=0.0018, MC price=0.0112, predicted=0.0001
loss=0.0016, MC price=0.0107, predicted=0.0001
loss=0.0019, MC price=0.0120, predicted=0.0001
loss=0.0017, MC price=0.0109, predicted=0.0001
loss=0.0016, MC price=0.0103, predicted=0.0001
loss=0.0018, MC price=0.0112, predicted=0.0001
loss=0.0019, MC price=0.0118, predicted=0.0001
loss=0.0017, MC price=0.0112, predicted=0.0001
loss=0.0018, MC price=0.0113, predicted=0.0001
loss=0.0017, MC price=0.0110, predicted=0.0001
loss=0.0015, MC price=0.0101, predicted=0.0001
loss=0.0017, MC price=0.0112, predicted=0.0001
loss=0.0020, MC price=0.0122, predicted=0.0001
loss=0.0016, MC price=0.0104, predicted=0.0001
loss=0.0017, MC price=0.0109, predicted=0.0001
loss=0.0016, MC price=0.0106, predicted=0.0001
loss=0.0018, MC price=0.0108, predicted=0.0001
loss=0.0019, MC price=0.0118, predicted=0.0001
loss=0.0017, MC price=0.0112, predicted=0.0001
loss=0.0017, MC price=0.0110, predicted=0.0001
loss=0.0018, MC price=0.0117, predicted=0.0001
loss=0.0017, MC price=0.0108, predicted=0.0001
loss=0.0019, MC price=0.0115, predicted=0.0001
loss=0.0019, MC price=0.0124, predicted=0.0001
loss=0.0019, MC price=0.0117, predicted=0.0001
loss=0.0014, MC price=0.0095, predicted=0.0001
loss=0.0019, MC price=0.0118, predicted=0.0001
loss=0.0015, MC price=0.0103, predicted=0.0001
loss=0.0017, MC price=0.0112, predicted=0.0001
loss=0.0019, MC price=0.0120, predicted=0.0001
loss=0.0018, MC price=0.0115, predicted=0.0001
loss=0.0018, MC price=0.0112, predicted=0.0001
loss=0.0016, MC price=0.0103, predicted=0.0001
loss=0.0020, MC price=0.0122, predicted=0.0001
loss=0.0017, MC price=0.0116, predicted=0.0002
loss=0.0019, MC price=0.0115, predicted=0.0003
loss=0.0018, MC price=0.0116, predicted=0.0007
loss=0.0016, MC price=0.0107, predicted=0.0039
loss=0.0016, MC price=0.0114, predicted=0.0109
loss=0.0017, MC price=0.0112, predicted=0.0102
loss=0.0014, MC price=0.0105, predicted=0.0106
loss=0.0016, MC price=0.0115, predicted=0.0110
loss=0.0016, MC price=0.0116, predicted=0.0111
loss=0.0014, MC price=0.0104, predicted=0.0108
loss=0.0018, MC price=0.0120, predicted=0.0117
loss=0.0015, MC price=0.0104, predicted=0.0122
loss=0.0017, MC price=0.0118, predicted=0.0110
loss=0.0016, MC price=0.0111, predicted=0.0116
loss=0.0016, MC price=0.0112, predicted=0.0111
loss=0.0016, MC price=0.0113, predicted=0.0121
loss=0.0016, MC price=0.0112, predicted=0.0117
loss=0.0016, MC price=0.0110, predicted=0.0114
loss=0.0016, MC price=0.0116, predicted=0.0116
loss=0.0016, MC price=0.0113, predicted=0.0100
loss=0.0015, MC price=0.0110, predicted=0.0109
loss=0.0017, MC price=0.0118, predicted=0.0115
loss=0.0017, MC price=0.0120, predicted=0.0118
loss=0.0014, MC price=0.0107, predicted=0.0120
loss=0.0016, MC price=0.0111, predicted=0.0121
loss=0.0016, MC price=0.0113, predicted=0.0120
loss=0.0016, MC price=0.0113, predicted=0.0120
loss=0.0016, MC price=0.0115, predicted=0.0116
loss=0.0015, MC price=0.0109, predicted=0.0113
loss=0.0016, MC price=0.0108, predicted=0.0123
loss=0.0015, MC price=0.0104, predicted=0.0112
loss=0.0015, MC price=0.0107, predicted=0.0120
loss=0.0017, MC price=0.0115, predicted=0.0130
loss=0.0016, MC price=0.0110, predicted=0.0134
loss=0.0018, MC price=0.0121, predicted=0.0127
loss=0.0017, MC price=0.0115, predicted=0.0128
loss=0.0014, MC price=0.0104, predicted=0.0124
loss=0.0015, MC price=0.0111, predicted=0.0131
loss=0.0016, MC price=0.0114, predicted=0.0125
loss=0.0017, MC price=0.0120, predicted=0.0126
loss=0.0015, MC price=0.0109, predicted=0.0121
loss=0.0017, MC price=0.0120, predicted=0.0135
loss=0.0016, MC price=0.0117, predicted=0.0126
loss=0.0015, MC price=0.0109, predicted=0.0129
loss=0.0016, MC price=0.0118, predicted=0.0133
loss=0.0016, MC price=0.0109, predicted=0.0138
loss=0.0016, MC price=0.0116, predicted=0.0132
loss=0.0015, MC price=0.0101, predicted=0.0135
loss=0.0017, MC price=0.0111, predicted=0.0133
loss=0.0015, MC price=0.0108, predicted=0.0126
loss=0.0018, MC price=0.0114, predicted=0.0143
loss=0.0015, MC price=0.0108, predicted=0.0132
loss=0.0015, MC price=0.0106, predicted=0.0137
loss=0.0016, MC price=0.0105, predicted=0.0139
loss=0.0017, MC price=0.0110, predicted=0.0137
loss=0.0016, MC price=0.0114, predicted=0.0140
loss=0.0022, MC price=0.0107, predicted=0.0152
loss=0.0016, MC price=0.0113, predicted=0.0140
loss=0.0016, MC price=0.0120, predicted=0.0136
loss=0.0018, MC price=0.0114, predicted=0.0137
loss=0.0016, MC price=0.0113, predicted=0.0139
loss=0.0017, MC price=0.0108, predicted=0.0143
loss=0.0019, MC price=0.0114, predicted=0.0145
loss=0.0017, MC price=0.0115, predicted=0.0143
loss=0.0017, MC price=0.0102, predicted=0.0145
loss=0.0018, MC price=0.0114, predicted=0.0142
loss=0.0016, MC price=0.0113, predicted=0.0139
loss=0.0025, MC price=0.0111, predicted=0.0151
loss=0.0017, MC price=0.0111, predicted=0.0141
loss=0.0022, MC price=0.0108, predicted=0.0152
loss=0.0019, MC price=0.0106, predicted=0.0148
loss=0.0016, MC price=0.0106, predicted=0.0141
loss=0.0018, MC price=0.0115, predicted=0.0148
loss=0.0015, MC price=0.0108, predicted=0.0136
loss=0.0016, MC price=0.0110, predicted=0.0140
loss=0.0023, MC price=0.0104, predicted=0.0149
loss=0.0016, MC price=0.0115, predicted=0.0135
loss=0.0015, MC price=0.0103, predicted=0.0142
loss=0.0018, MC price=0.0122, predicted=0.0143
loss=0.0024, MC price=0.0123, predicted=0.0152
loss=0.0017, MC price=0.0105, predicted=0.0143
loss=0.0014, MC price=0.0102, predicted=0.0135
loss=0.0017, MC price=0.0114, predicted=0.0138
loss=0.0016, MC price=0.0109, predicted=0.0138
loss=0.0016, MC price=0.0113, predicted=0.0131
loss=0.0017, MC price=0.0109, predicted=0.0142
loss=0.0019, MC price=0.0115, predicted=0.0139
loss=0.0017, MC price=0.0125, predicted=0.0138
loss=0.0016, MC price=0.0114, predicted=0.0134
loss=0.0016, MC price=0.0108, predicted=0.0135
loss=0.0016, MC price=0.0114, predicted=0.0137
loss=0.0017, MC price=0.0108, predicted=0.0140
loss=0.0014, MC price=0.0101, predicted=0.0140
loss=0.0015, MC price=0.0100, predicted=0.0141
loss=0.0016, MC price=0.0125, predicted=0.0136
loss=0.0016, MC price=0.0100, predicted=0.0141
loss=0.0021, MC price=0.0110, predicted=0.0141
loss=0.0017, MC price=0.0121, predicted=0.0139
loss=0.0015, MC price=0.0117, predicted=0.0133
loss=0.0015, MC price=0.0113, predicted=0.0134
loss=0.0015, MC price=0.0108, predicted=0.0133
loss=0.0014, MC price=0.0100, predicted=0.0132
loss=0.0014, MC price=0.0114, predicted=0.0135
loss=0.0013, MC price=0.0104, predicted=0.0133
loss=0.0015, MC price=0.0102, predicted=0.0138
loss=0.0014, MC price=0.0113, predicted=0.0136
loss=0.0015, MC price=0.0110, predicted=0.0132
loss=0.0015, MC price=0.0114, predicted=0.0134
loss=0.0016, MC price=0.0108, predicted=0.0140
loss=0.0015, MC price=0.0112, predicted=0.0136
loss=0.0013, MC price=0.0104, predicted=0.0134
loss=0.0015, MC price=0.0120, predicted=0.0135
loss=0.0014, MC price=0.0101, predicted=0.0134
loss=0.0016, MC price=0.0111, predicted=0.0135
loss=0.0015, MC price=0.0114, predicted=0.0137
loss=0.0019, MC price=0.0102, predicted=0.0140
loss=0.0013, MC price=0.0112, predicted=0.0132
loss=0.0015, MC price=0.0111, predicted=0.0132
loss=0.0013, MC price=0.0107, predicted=0.0136
loss=0.0015, MC price=0.0112, predicted=0.0138
loss=0.0014, MC price=0.0107, predicted=0.0142
loss=0.0014, MC price=0.0119, predicted=0.0136
loss=0.0015, MC price=0.0114, predicted=0.0128
loss=0.0013, MC price=0.0111, predicted=0.0132
loss=0.0015, MC price=0.0110, predicted=0.0127
loss=0.0013, MC price=0.0105, predicted=0.0127
loss=0.0013, MC price=0.0107, predicted=0.0133
loss=0.0014, MC price=0.0114, predicted=0.0123
loss=0.0013, MC price=0.0110, predicted=0.0132
loss=0.0013, MC price=0.0114, predicted=0.0134
loss=0.0014, MC price=0.0117, predicted=0.0135
loss=0.0013, MC price=0.0109, predicted=0.0138
loss=0.0013, MC price=0.0113, predicted=0.0138
loss=0.0014, MC price=0.0118, predicted=0.0136
loss=0.0016, MC price=0.0123, predicted=0.0138
loss=0.0014, MC price=0.0122, predicted=0.0134
loss=0.0014, MC price=0.0120, predicted=0.0133
loss=0.0015, MC price=0.0114, predicted=0.0138
loss=0.0012, MC price=0.0103, predicted=0.0138
loss=0.0015, MC price=0.0129, predicted=0.0137
loss=0.0013, MC price=0.0111, predicted=0.0131
loss=0.0015, MC price=0.0120, predicted=0.0125
loss=0.0013, MC price=0.0110, predicted=0.0129
loss=0.0014, MC price=0.0119, predicted=0.0137
loss=0.0013, MC price=0.0113, predicted=0.0134
loss=0.0013, MC price=0.0109, predicted=0.0139
loss=0.0013, MC price=0.0111, predicted=0.0135
loss=0.0013, MC price=0.0114, predicted=0.0138
loss=0.0013, MC price=0.0114, predicted=0.0135
loss=0.0014, MC price=0.0106, predicted=0.0137
loss=0.0012, MC price=0.0098, predicted=0.0133
loss=0.0013, MC price=0.0117, predicted=0.0133
loss=0.0013, MC price=0.0116, predicted=0.0133
loss=0.0012, MC price=0.0112, predicted=0.0130
loss=0.0015, MC price=0.0103, predicted=0.0132
loss=0.0013, MC price=0.0115, predicted=0.0129
loss=0.0013, MC price=0.0112, predicted=0.0128
loss=0.0012, MC price=0.0108, predicted=0.0131
loss=0.0013, MC price=0.0116, predicted=0.0135
loss=0.0018, MC price=0.0117, predicted=0.0137
loss=0.0013, MC price=0.0108, predicted=0.0128
loss=0.0013, MC price=0.0114, predicted=0.0129
loss=0.0013, MC price=0.0112, predicted=0.0135
loss=0.0013, MC price=0.0117, predicted=0.0134
loss=0.0013, MC price=0.0117, predicted=0.0134
loss=0.0014, MC price=0.0120, predicted=0.0135
loss=0.0013, MC price=0.0115, predicted=0.0132
loss=0.0013, MC price=0.0115, predicted=0.0132
loss=0.0013, MC price=0.0114, predicted=0.0136
loss=0.0012, MC price=0.0100, predicted=0.0137
loss=0.0012, MC price=0.0103, predicted=0.0134
loss=0.0016, MC price=0.0121, predicted=0.0139
loss=0.0012, MC price=0.0115, predicted=0.0136
loss=0.0011, MC price=0.0106, predicted=0.0134
loss=0.0013, MC price=0.0115, predicted=0.0132
loss=0.0013, MC price=0.0115, predicted=0.0127
loss=0.0012, MC price=0.0108, predicted=0.0132
loss=0.0013, MC price=0.0120, predicted=0.0131

=== FINAL COMPARISON ===
Closed-form : 0.0149
Deep PPDE   : 0.0131
Monte Carlo : 0.0110
